what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1331558538084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558538107
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1331558538152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558540626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558545743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558546721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1331558564432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558564464
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1331558568673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558592422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558618027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558618734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558621902
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331558623416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558635730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558642115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558643232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1331558645199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558645214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558646518
error,log,,,"Error",1331558665169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1331558670469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558670483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558672152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558672856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558677370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331558713823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558713843
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1331558720407
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331558725880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558728444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331558745188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558745203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1331558758843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1331558759021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1331558759224
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1331558760884
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331558766177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558768947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331558776662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558776679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558780872
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331558783264
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1331558783671
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1331558783671
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1331558783672
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1331558783672
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1331558783672
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1331558783672
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1331558783672
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1331558783673
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1331558783673
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1331558783674
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1331558783674
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1331558783674
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1331558783675
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1331558783675
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1331558783675
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1331558783677
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1331558783677
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1331558783678
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1331558783679
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1331558783679
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1331558783679
stopped,bundle,org.rtems.cdt,1.4.0.200911301509,"org.rtems.cdt",1331558783679
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1331558783680
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1331558783680
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1331558783680
